date,active
"2020-01-30",1
"2020-02-02",2
"2020-02-03",3
"2020-03-02",5
"2020-03-03",6
"2020-03-10",47
"2020-03-11",60
"2020-03-12",73
"2020-03-12",71
"2020-03-13",71
"2020-03-13",67
"2020-03-14",71
"2020-03-14",72
"2020-03-15",82
"2020-03-15",96
"2020-03-15",95
"2020-03-15",95
"2020-03-16",99
"2020-03-17",110
"2020-03-17",109
"2020-03-17",110
"2020-03-17",120
"2020-03-18",130
"2020-03-18",134
"2020-03-19",148
"2020-03-19",148
"2020-03-19",149
"2020-03-20",171
"2020-03-20",196
"2020-03-21",231
"2020-03-21",256
"2020-03-22",296
"2020-03-22",295
"2020-03-22",329
"2020-03-23",359
"2020-03-23",359
"2020-03-23",402
"2020-03-23",390
"2020-03-24",446
"2020-03-24",470
"2020-03-24",469
"2020-03-25",512
"2020-03-25",553
"2020-03-26",593
"2020-03-26",634
"2020-03-27",640
"2020-03-28",775
"2020-03-28",810
"2020-03-29",867
"2020-03-29",901
"2020-03-30",942
"2020-03-30",1072
"2020-03-31",1200
"2020-04-01",1466
"2020-04-01",1649
"2020-04-02",1764
"2020-04-02",1860
"2020-04-03",2070
"2020-04-03",2245
"2020-04-04",2650
"2020-04-04",2784
"2020-04-05",3030
"2020-04-05",3219
"2020-04-06",3666
"2020-04-06",3851
"2020-04-07",3981
"2020-04-07",4312
"2020-04-08",4643
"2020-04-08",4714
"2020-04-09",5095
"2020-04-09",5218
"2020-04-10",5709
"2020-04-10",6039
"2020-04-11",6565
"2020-04-11",6634
"2020-04-12",7367
"2020-04-12",7409
"2020-04-13",7987
"2020-04-13",8048
"2020-04-14",8988
"2020-04-14",9272
"2020-04-15",9756
"2020-04-15",10197
"2020-04-16",10477
"2020-04-16",10824
"2020-04-17",11201
"2020-04-17",11616
"2020-04-18",11906
"2020-04-18",12289
"2020-04-19",12974
"2020-04-19",13295
"2020-04-20",14175
"2020-04-20",14255
"2020-04-21",14759
"2020-04-21",15122
"2020-04-22",15474
"2020-04-22",15859
"2020-04-23",16454
"2020-04-23",16689
"2020-04-24",17610
"2020-04-24",17915
"2020-04-25",18668
"2020-04-25",18904
"2020-04-26",19868
"2020-04-26",19865
"2020-04-27",20835
"2020-04-27",20912
"2020-04-28",21632
"2020-04-28",21870
"2020-04-29",22629
"2020-04-29",22904
"2020-04-30",23651
"2020-04-30",23882
"2020-05-01",24716
"2020-05-01",24755
"2020-05-02",25988
"2020-05-02",26430
"2020-05-03",27922
"2020-05-03",27931
"2020-05-04",29453
"2020-05-04",29685
"2020-05-05",32138
"2020-05-05",31967
"2020-05-06",33514
"2020-05-07",35902
"2020-05-08",37916
"2020-05-09",39834
"2020-05-10",41472
"2020-05-11",44029
"2020-05-12",46008
"2020-05-13",47480
"2020-05-14",49219
"2020-05-15",51401
"2020-05-16",52805
"2020-05-17",53656
"2020-05-18",55906
"2020-05-19",57988
"2020-05-20",60053
"2020-05-21",62221
"2020-05-22",64710
"2020-05-23",67698
"2020-05-24",71222
"2020-05-25",74461
"2020-05-26",77752
"2020-05-27",78991
"2020-05-28",81778
"2020-05-29",85314
"2020-05-30",81379
"2020-05-31",84504
"2020-06-01",87692
"2020-06-02",91167
"2020-06-03",94374
"2020-06-04",99254
"2020-06-05",110960
"2020-06-06",115942
"2020-06-07",120406
"2020-06-08",125381
"2020-06-09",129917
"2020-06-10",133632
"2020-06-11",137448
"2020-06-12",141842
"2020-06-13",145779
"2020-06-14",149348
"2020-06-15",153106
"2020-06-16",153178
"2020-06-17",154638
"2020-06-18",160384
"2020-06-19",163248
"2020-06-20",168269
"2020-06-21",169451
"2020-06-22",174387
"2020-06-23",178014
"2020-06-24",183022
"2020-06-25",186514
"2020-06-26",189463
"2020-06-27",197387
"2020-06-28",203051
"2020-06-29",210120
"2020-06-30",215125
"2020-07-01",220114
"2020-07-02",226947
"2020-07-03",227439
"2020-07-04",235433
"2020-07-05",244814
"2020-07-06",253287
"2020-07-07",259557
"2020-07-08",264944
"2020-07-09",269789
"2020-07-10",276685
"2020-07-11",283407
"2020-07-12",292258
"2020-07-13",301609
"2020-07-14",311565
"2020-07-15",319840
"2020-07-16",331146
"2020-07-17",342473
"2020-07-18",358692
"2020-07-19",373379
"2020-07-20",390459
"2020-07-21",402529
"2020-07-22",411133
"2020-07-23",426167
"2020-07-24",440135
"2020-07-25",456071
"2020-07-26",467882
"2020-07-27",485114
"2020-07-28",496988
"2020-07-29",509447
"2020-07-30",528242
"2020-07-31",545318
"2020-08-01",565103
"2020-08-02",567730
"2020-08-03",579357
"2020-08-04",586298
"2020-08-05",586244
"2020-08-06",595501
"2020-08-07",607384
"2020-08-08",619088
"2020-08-09",628747
"2020-08-10",634945
"2020-08-11",639929
"2020-08-12",643948
"2020-08-13",653622
"2020-08-14",661595
"2020-08-15",667950
"2020-08-16",677444
"2020-08-17",676900
"2020-08-18",670066
"2020-08-19",676514
"2020-08-20",686395
"2020-08-21",692030
"2020-08-22",697330
"2020-08-23",707668
"2020-08-24",710771
"2020-08-25",704348
"2020-08-26",707267
"2020-08-27",725991
"2020-08-28",742023
"2020-08-29",752424
"2020-08-30",765302
"2020-08-31",781975
"2020-09-01",785996
"2020-09-02",801282
"2020-09-03",815538
"2020-09-04",831124
"2020-09-05",846395
"2020-09-06",862320
"2020-09-07",882542
"2020-09-08",883697
"2020-09-09",897394
"2020-09-10",919018
"2020-09-11",943480
"2020-09-12",958316
"2020-09-13",973175
"2020-09-14",986598
"2020-09-15",990061
"2020-09-16",995933
"2020-09-17",1009976
"2020-09-18",1017754
"2020-09-19",1013964
"2020-09-20",1010824
"2020-09-21",1003299
"2020-09-22",975861
"2020-09-23",968377
"2020-09-24",966382
"2020-09-25",970116
"2020-09-26",960969
"2020-09-27",956402
"2020-09-28",962640
"2020-09-29",947576
"2020-09-30",940441
"2020-10-01",940705
"2020-10-02",942217
"2020-10-03",944996
"2020-10-04",937625
"2020-10-05",934427
"2020-10-06",919023
"2020-10-07",907883
"2020-10-08",902425
"2020-10-09",893592
"2020-10-10",883185
"2020-10-11",867496
"2020-10-12",861853
"2020-10-13",838729
"2020-10-14",826876
"2020-10-15",812390
"2020-10-16",804528
"2020-10-17",795087
"2020-10-18",783311
"2020-10-19",772055
"2020-10-20",748538
"2020-10-21",740089
"2020-10-22",715812
"2020-10-23",695509
"2020-10-24",680680
"2020-10-25",668154
"2020-10-26",653717
"2020-10-27",625857
"2020-10-28",610803
"2020-10-29",603687
"2020-10-30",594386
"2020-10-31",582649
"2020-11-01",570458
"2020-11-02",561908
"2020-11-03",541405
"2020-11-04",533787
"2020-11-05",527962
"2020-11-06",520773
"2020-11-07",516632
"2020-11-08",512665
"2020-11-09",509673
"2020-11-10",501214
"2020-11-11",494657
"2020-11-12",489294
"2020-11-13",484547
"2020-11-14",480719
"2020-11-15",479216
"2020-11-16",465478
"2020-11-17",453401
"2020-11-18",446805
"2020-11-19",443303
"2020-11-20",443794
"2020-11-21",439747
"2020-11-22",440962
"2020-11-23",443486
